State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Odisha,BARGARH,2012,Winter,Sesamum,828.0,190.4,0.22995169082125605
Odisha,BARGARH,2012,Winter,Sugarcane,763.0,62448.5,81.84600262123197
Odisha,BARGARH,2013,Autumn,Groundnut,13134.0,14605.0,1.1119993908938632
Odisha,BARGARH,2013,Autumn,Maize,100.0,171.4,1.714
Odisha,BARGARH,2013,Autumn,Moong(Green Gram),15615.0,5090.5,0.3260006404098623
Odisha,BARGARH,2013,Autumn,Rice,61000.0,74000.0,1.2131147540983607
Odisha,BARGARH,2013,Autumn,Sesamum,10.0,3.4,0.33999999999999997
Odisha,BARGARH,2013,Autumn,Urad,9556.0,3268.2,0.342005023022185
Odisha,BARGARH,2013,Summer,Groundnut,1512.0,2218.1,1.4669973544973545
Odisha,BARGARH,2013,Summer,Maize,9.0,17.6,1.9555555555555557
Odisha,BARGARH,2013,Summer,Moong(Green Gram),824.0,315.6,0.3830097087378641
Odisha,BARGARH,2013,Summer,Rice,84000.0,329000.0,3.9166666666666665
Odisha,BARGARH,2013,Summer,Sesamum,94.0,36.7,0.39042553191489365
Odisha,BARGARH,2013,Summer,Urad,23.0,9.2,0.39999999999999997
Odisha,BARGARH,2013,Summer,Wheat,4.0,5.2,1.3
Odisha,BARGARH,2013,Winter,Horse-gram,1019.0,321.0,0.3150147203140334
Odisha,BARGARH,2013,Winter,Moong(Green Gram),84.0,23.8,0.2833333333333333
Odisha,BARGARH,2013,Winter,Potato,808.0,7107.2,8.796039603960395
Odisha,BARGARH,2013,Winter,Rapeseed &Mustard,524.0,168.7,0.32194656488549617
Odisha,BARGARH,2013,Winter,Rice,180000.0,338000.0,1.8777777777777778
Odisha,BARGARH,2013,Winter,Sesamum,1098.0,221.8,0.20200364298724954
Odisha,BARGARH,2013,Winter,Sugarcane,708.0,55667.9,78.62697740112995
Odisha,BARGARH,2013,Winter,Urad,13.0,4.7,0.36153846153846153
Odisha,BARGARH,2014,Autumn,Groundnut,9595.0,8270.9,0.862001042209484
Odisha,BARGARH,2014,Autumn,Maize,117.0,134.9,1.1529914529914531
Odisha,BARGARH,2014,Autumn,Moong(Green Gram),14264.0,2710.2,0.19000280426247895
Odisha,BARGARH,2014,Autumn,Ragi,1.0,0.8,0.8
Odisha,BARGARH,2014,Autumn,Rice,57000.0,110000.0,1.9298245614035088
Odisha,BARGARH,2014,Autumn,Sesamum,1.0,0.2,0.2
Odisha,BARGARH,2014,Autumn,Urad,8125.0,1811.9,0.22300307692307694
Odisha,BARGARH,2014,Summer,Groundnut,580.0,776.0,1.3379310344827586
Odisha,BARGARH,2014,Summer,Maize,13.0,30.2,2.323076923076923
Odisha,BARGARH,2014,Summer,Moong(Green Gram),1432.0,537.0,0.375
Odisha,BARGARH,2014,Summer,Rice,76000.0,303000.0,3.986842105263158
Odisha,BARGARH,2014,Summer,Sesamum,43.0,18.6,0.43255813953488376
Odisha,BARGARH,2014,Summer,Urad,21.0,9.1,0.4333333333333333
Odisha,BARGARH,2014,Summer,Wheat,4.0,4.8,1.2
Odisha,BARGARH,2014,Winter,Horse-gram,770.0,217.9,0.282987012987013
Odisha,BARGARH,2014,Winter,Maize,1.0,2.4,2.4
Odisha,BARGARH,2014,Winter,Moong(Green Gram),38.0,11.1,0.2921052631578947
Odisha,BARGARH,2014,Winter,Potato,398.0,4023.0,10.108040201005025
Odisha,BARGARH,2014,Winter,Rapeseed &Mustard,446.0,147.2,0.33004484304932735
Odisha,BARGARH,2014,Winter,Rice,174000.0,485000.0,2.7873563218390807
Odisha,BARGARH,2014,Winter,Sesamum,523.0,86.8,0.16596558317399618
Odisha,BARGARH,2014,Winter,Sugarcane,431.0,36276.4,84.16798143851508
Odisha,BARGARH,2014,Winter,Urad,18.0,4.8,0.26666666666666666
Odisha,BARGARH,2015,Autumn,Groundnut,8176.0,5731.4,0.7010029354207435
Odisha,BARGARH,2015,Autumn,Maize,258.0,358.2,1.3883720930232557
